City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
235,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,85.8,70,20,3.44,few clouds
236,Bethel,US,41.3712,-73.414,82.15,61,0,4.61,clear sky
237,Salinas,US,36.6777,-121.6555,65.91,75,100,4.61,fog
238,Adra,ES,36.7496,-3.0206,98.38,62,0,5.01,clear sky
239,Georgetown,MY,5.4112,100.3354,84.88,75,20,0.0,few clouds
240,Umm Lajj,SA,25.0213,37.2685,88.39,64,9,13.53,clear sky
241,Provideniya,RU,64.3833,-173.3,48.4,94,99,5.97,overcast clouds
242,Tonekabon,IR,36.8163,50.8738,82.35,73,43,1.95,scattered clouds
243,Chapais,CA,49.7834,-74.8492,70.25,55,2,11.32,clear sky
244,Touros,BR,-5.1989,-35.4608,84.0,56,11,16.15,few clouds
245,Srednekolymsk,RU,67.45,153.6833,57.25,78,1,6.71,clear sky
246,Sarakhs,IR,36.5449,61.1577,89.06,17,0,14.38,clear sky
247,Waipawa,NZ,-41.4122,175.5153,39.67,81,64,9.42,broken clouds
248,Bobo Dioulasso,BF,11.1771,-4.2979,81.05,65,40,12.66,thunderstorm
249,Ozinki,RU,51.1786,49.6769,84.96,33,84,8.21,broken clouds
250,Santa Rosa,PH,14.3122,121.1114,83.1,89,96,4.27,moderate rain
251,Novyy Yegorlyk,RU,46.3927,41.8716,94.3,19,0,16.87,clear sky
252,Singaraja,ID,-8.112,115.0882,78.76,85,94,4.07,overcast clouds
253,Hun,LY,29.1268,15.9477,96.69,19,0,13.33,clear sky
254,Puerto Quijarro,BO,-17.7833,-57.7667,69.73,28,0,7.7,clear sky
255,Tura,IN,25.5198,90.2201,75.36,90,19,6.31,few clouds
256,Tasiilaq,GL,65.6145,-37.6368,41.16,72,5,1.95,clear sky
257,Roma,US,43.2128,-75.4557,70.52,80,100,3.44,overcast clouds
258,Meridian,US,43.6121,-116.3915,74.08,85,100,4.61,mist
259,Lensk,RU,60.7253,114.9278,53.8,91,34,3.44,scattered clouds
260,Sakaiminato,JP,35.55,133.2333,82.38,89,75,3.44,broken clouds
261,Yarada,IN,17.65,83.2667,82.72,83,75,11.5,mist
262,Trairi,BR,-3.2778,-39.2689,86.14,53,19,16.28,few clouds
263,Simao,CN,22.7886,100.9748,66.61,93,71,1.36,broken clouds
264,Hambantota,LK,6.1241,81.1185,79.14,83,20,5.75,few clouds
265,Kwinana,AU,-32.25,115.7667,50.81,85,4,6.69,clear sky
266,Pangnirtung,CA,66.1451,-65.7125,46.81,72,54,3.87,broken clouds
267,Vila Velha,BR,-20.3297,-40.2925,84.15,59,0,13.8,light rain
268,Lagoa,PT,39.05,-27.9833,70.83,70,51,6.49,broken clouds
269,Bereda,ES,43.2686,-7.5406,88.56,32,100,4.36,light rain
270,Saint-Joseph,RE,-21.3667,55.6167,68.38,73,35,16.96,scattered clouds
271,Port Keats,AU,-14.25,129.55,72.3,86,17,1.77,few clouds
272,Mabaruma,GY,8.2,-59.7833,88.59,55,100,4.94,overcast clouds
273,Penzance,GB,50.1186,-5.5371,79.48,53,0,9.22,clear sky
274,Piacabucu,BR,-10.4056,-36.4344,79.05,69,67,5.79,broken clouds
275,Togur,RU,58.3631,82.8265,67.87,74,52,5.57,light rain
276,Hirara,JP,24.8,125.2833,85.06,72,1,10.18,clear sky
277,Aranda De Duero,ES,41.6704,-3.6892,89.19,24,77,4.36,broken clouds
278,Kailua,US,21.4022,-157.7394,78.78,81,0,10.36,clear sky
279,Farah,AF,32.5,62.5,92.48,12,0,21.34,clear sky
280,Chitipa,MW,-9.7024,33.2697,73.17,34,0,9.44,clear sky
281,Cherskiy,RU,68.75,161.3,50.56,84,0,5.59,clear sky
282,Lumphat,KH,13.4878,106.9816,74.17,99,100,3.18,overcast clouds
283,Teknaf,BD,20.8624,92.3058,78.49,89,100,10.63,moderate rain
284,Marrakesh,MA,31.6315,-8.0083,96.87,34,0,4.61,clear sky
285,Leningradskiy,RU,69.3833,178.4167,41.77,94,93,7.61,overcast clouds
286,Harper,LR,4.375,-7.7169,76.86,75,97,10.65,overcast clouds
287,Marawi,PH,7.9986,124.2928,69.57,89,100,1.95,overcast clouds
288,Winnemucca,US,40.973,-117.7357,66.25,82,75,5.75,broken clouds
289,Goulburn,AU,-34.75,149.7167,39.56,98,94,3.29,overcast clouds
290,Tual,ID,-5.6667,132.75,79.61,82,69,16.15,broken clouds
291,Moindou,NC,-21.6924,165.677,65.64,58,35,11.52,scattered clouds
292,Svetlyy,RU,54.675,20.1347,71.65,52,98,7.7,overcast clouds
293,Olinda,BR,-8.0089,-34.8553,82.13,54,20,8.05,few clouds
294,Komsomolskiy,UZ,40.4272,71.7189,84.92,34,27,4.61,scattered clouds
295,Sabang,ID,5.8933,95.3214,82.99,74,84,17.83,broken clouds
296,Ishigaki,JP,24.3448,124.1572,82.53,89,40,1.14,scattered clouds
297,Nadym,RU,65.5333,72.5167,59.63,51,100,9.37,overcast clouds
298,Vitim,RU,59.4511,112.5578,54.05,97,100,1.36,overcast clouds
299,Bassila,BJ,9.0081,1.6654,80.55,79,46,4.09,moderate rain
300,Kieta,PG,-6.2167,155.6333,78.26,84,100,3.18,overcast clouds
301,Kiunga,PG,-6.1219,141.2906,73.17,99,100,3.65,overcast clouds
302,Byron Bay,AU,-28.65,153.6167,50.94,69,93,7.72,overcast clouds
303,Puerto Escondido,MX,15.85,-97.0667,84.27,64,89,3.67,overcast clouds
304,Guerrero Negro,MX,27.9769,-114.0611,76.44,66,91,8.08,overcast clouds
305,Udachnyy,RU,66.4167,112.4,62.46,58,100,7.61,overcast clouds
306,Dergachi,RU,51.2328,48.7659,87.19,30,72,8.41,broken clouds
307,Arman,RU,59.7,150.1667,57.02,91,100,5.03,overcast clouds
308,Ouargaye,BF,11.5033,0.0572,84.58,63,79,8.5,light rain
309,Pimentel,PE,-6.8367,-79.9342,68.29,68,20,12.66,few clouds
310,Anadyr,RU,64.75,177.4833,57.7,82,0,4.47,clear sky
311,Lusambo,CD,-4.9667,23.45,100.26,13,64,1.68,broken clouds
312,Geraldton,AU,-28.7667,114.6,45.01,93,18,5.75,few clouds
313,Norman Wells,CA,65.282,-126.8329,47.44,93,100,6.53,light rain
314,Rongcheng,CN,30.634,117.8517,83.64,75,91,3.49,overcast clouds
315,Xinan,CN,26.72,119.8556,79.66,91,73,3.62,broken clouds
316,Puerto Santander,CO,8.3636,-72.4063,87.21,60,100,3.6,overcast clouds
317,Makinsk,KZ,52.6292,70.4169,64.15,64,54,6.08,broken clouds
318,Codrington,AU,-38.2667,141.9667,49.35,78,100,19.26,light rain
319,Portland,US,45.5234,-122.6762,65.57,81,100,5.99,overcast clouds
320,Nybro,SE,56.7446,15.9071,75.04,31,22,5.7,few clouds
321,Birao,CF,10.2849,22.7882,79.54,78,97,6.67,light rain
322,Yerbogachen,RU,61.2767,108.0108,56.95,78,100,3.31,overcast clouds
323,Mao,ES,39.8885,4.2658,91.96,33,20,8.05,few clouds
324,Richards Bay,ZA,-28.783,32.0377,71.47,75,0,10.63,clear sky
325,Nefteyugansk,RU,61.0998,72.6035,63.34,54,7,10.76,clear sky
326,Can Tho,VN,10.0333,105.7833,75.18,100,75,8.05,broken clouds
327,Talnakh,RU,69.4865,88.3972,51.21,84,100,5.28,overcast clouds
328,Georgiyevka,KZ,43.0369,74.7114,71.64,56,40,6.71,scattered clouds
329,Vikulovo,RU,56.8167,70.6107,62.89,91,100,3.96,light rain
330,Nawada,IN,24.8833,85.5333,82.2,78,43,14.32,scattered clouds
331,Iranshahr,IR,27.2025,60.6848,111.54,10,40,23.02,sand
332,Husavik,IS,66.0449,-17.3389,47.39,83,99,14.54,overcast clouds
